neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,year
Manhattan,Gramercy,Entire home/apt,99,3,10,2019.0
Queens,Astoria,Entire home/apt,120,3,11,2019.0
Manhattan,Upper West Side,Private room,120,1,141,2019.0
Brooklyn,Flatbush,Private room,60,2,2,2017.0
Bronx,Mott Haven,Private room,40,1,73,2019.0
Brooklyn,Canarsie,Private room,89,1,2,2018.0
Queens,Ridgewood,Entire home/apt,49,2,59,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,60,3,26,2019.0
Manhattan,Chelsea,Entire home/apt,500,7,26,2019.0
Bronx,East Morrisania,Private room,75,2,71,2019.0
Brooklyn,Williamsburg,Entire home/apt,150,4,8,2019.0
Manhattan,East Village,Entire home/apt,120,3,41,2019.0
Brooklyn,Bushwick,Entire home/apt,165,4,12,2019.0
Manhattan,Upper West Side,Private room,72,3,4,2017.0
Manhattan,Washington Heights,Entire home/apt,120,3,32,2019.0
Brooklyn,Downtown Brooklyn,Entire home/apt,275,3,20,2019.0
Queens,Jamaica,Entire home/apt,130,2,95,2019.0
Staten Island,Midland Beach,Entire home/apt,90,4,8,2019.0
Staten Island,Midland Beach,Entire home/apt,105,4,20,2019.0
Manhattan,Upper West Side,Entire home/apt,190,30,5,2019.0
Manhattan,East Harlem,Entire home/apt,82,2,3,2017.0
Brooklyn,Vinegar Hill,Private room,69,5,5,2019.0
Manhattan,East Village,Private room,99,3,2,2018.0
Brooklyn,Downtown Brooklyn,Private room,58,5,1,2017.0
Brooklyn,East Flatbush,Entire home/apt,100,2,97,2019.0
Brooklyn,Prospect Heights,Entire home/apt,121,9,21,2019.0
Brooklyn,Brighton Beach,Private room,95,1,7,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,389,1,107,2019.0
Manhattan,East Harlem,Private room,75,1,12,2017.0
Brooklyn,Windsor Terrace,Entire home/apt,150,2,4,2019.0
Brooklyn,Kensington,Private room,35,1,6,2017.0
Brooklyn,Bedford-Stuyvesant,Private room,45,5,2,2017.0
Staten Island,"Bay Terrace, Staten Island",Entire home/apt,150,3,1,2018.0
Manhattan,Upper West Side,Entire home/apt,190,30,6,2019.0
Brooklyn,Crown Heights,Entire home/apt,199,4,7,2019.0
Bronx,Bronxdale,Private room,35,1,21,2018.0
Queens,Queens Village,Private room,75,1,16,2018.0
Queens,Woodside,Private room,40,10,1,2018.0
Manhattan,Harlem,Private room,99,2,17,2018.0
Brooklyn,Bushwick,Private room,75,2,8,2018.0
Queens,Ditmars Steinway,Private room,40,2,101,2019.0
Brooklyn,Williamsburg,Private room,91,1,3,2017.0
Brooklyn,Williamsburg,Private room,55,30,3,2018.0
Manhattan,Lower East Side,Private room,120,2,1,2018.0
Manhattan,Kips Bay,Private room,69,15,25,2019.0
Manhattan,Harlem,Private room,60,3,1,2017.0
Manhattan,Midtown,Entire home/apt,333,30,66,2019.0
Queens,Flushing,Private room,50,2,74,2019.0
Queens,Sunnyside,Private room,60,3,105,2019.0
Queens,Arverne,Entire home/apt,150,2,2,2019.0
Brooklyn,Williamsburg,Entire home/apt,150,1,4,2017.0
Brooklyn,East Flatbush,Private room,89,1,14,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,135,2,3,2017.0
Queens,Rego Park,Entire home/apt,115,1,78,2019.0
Queens,Richmond Hill,Entire home/apt,100,7,3,2019.0
Manhattan,Upper West Side,Private room,76,7,2,2017.0
Brooklyn,Fort Greene,Entire home/apt,110,2,5,2017.0
Brooklyn,Clinton Hill,Private room,60,5,4,2019.0
Queens,East Elmhurst,Private room,40,1,1,2019.0
Brooklyn,Williamsburg,Private room,50,7,1,2017.0
Queens,Astoria,Private room,49,3,36,2018.0
Manhattan,Nolita,Entire home/apt,200,1,13,2019.0
Manhattan,Harlem,Entire home/apt,65,3,9,2017.0
Brooklyn,Williamsburg,Private room,68,1,1,2017.0
Queens,Elmhurst,Private room,80,2,8,2017.0
Queens,Jamaica Hills,Private room,50,1,4,2017.0
Queens,Ridgewood,Private room,78,3,60,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,65,1,87,2019.0
Brooklyn,Williamsburg,Private room,55,3,58,2019.0
Manhattan,Harlem,Private room,63,3,50,2019.0
Queens,Flushing,Private room,43,2,65,2019.0
Manhattan,Hell's Kitchen,Private room,140,2,54,2018.0
Bronx,Westchester Square,Entire home/apt,72,2,35,2019.0
Queens,Sunnyside,Entire home/apt,199,4,63,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,90,2,55,2019.0
Queens,Woodhaven,Private room,55,1,86,2019.0
Brooklyn,Carroll Gardens,Entire home/apt,120,3,2,2018.0
Brooklyn,Bedford-Stuyvesant,Private room,80,2,64,2019.0
Manhattan,Upper East Side,Private room,154,4,5,2018.0
Manhattan,Upper West Side,Entire home/apt,175,7,2,2017.0
Manhattan,Harlem,Entire home/apt,80,5,5,2018.0
Brooklyn,Bushwick,Private room,50,20,3,2017.0
Manhattan,Upper East Side,Entire home/apt,125,1,131,2019.0
Manhattan,Hell's Kitchen,Private room,174,3,17,2019.0
Brooklyn,Bushwick,Private room,40,1,4,2017.0
Bronx,Williamsbridge,Private room,45,3,33,2019.0
Brooklyn,Bushwick,Private room,50,2,31,2018.0
Brooklyn,Greenpoint,Entire home/apt,115,1,92,2019.0
Manhattan,Harlem,Entire home/apt,130,1,35,2019.0
Queens,Jamaica,Entire home/apt,63,3,14,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,275,2,86,2019.0
Manhattan,Harlem,Entire home/apt,130,3,40,2019.0
Manhattan,East Village,Entire home/apt,154,3,2,2017.0
Brooklyn,Greenpoint,Private room,43,2,153,2019.0
Brooklyn,Bay Ridge,Shared room,225,3,1,2017.0
Brooklyn,Bushwick,Private room,60,3,2,2017.0
Queens,Sunnyside,Private room,60,4,3,2018.0
Manhattan,Upper East Side,Entire home/apt,180,1,3,2017.0
Brooklyn,Bedford-Stuyvesant,Private room,150,2,5,2018.0
Brooklyn,Columbia St,Entire home/apt,169,1,11,2017.0
Brooklyn,East New York,Entire home/apt,83,1,42,2019.0
Queens,Richmond Hill,Private room,40,1,59,2019.0
Queens,Ditmars Steinway,Private room,75,2,2,2017.0
Brooklyn,Crown Heights,Entire home/apt,89,2,8,2018.0
Brooklyn,South Slope,Entire home/apt,150,2,3,2017.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,68,30,11,2019.0
Manhattan,Midtown,Entire home/apt,200,30,5,2018.0
Brooklyn,Columbia St,Entire home/apt,144,1,11,2018.0
Manhattan,East Village,Private room,75,2,2,2017.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,2,6,2019.0
Manhattan,Upper East Side,Private room,105,3,29,2019.0
Manhattan,Midtown,Entire home/apt,350,30,2,2018.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,28,3,2019.0
Queens,Sunnyside,Private room,98,1,106,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,122,28,7,2018.0
Brooklyn,Williamsburg,Private room,90,1,1,2017.0
Brooklyn,Clinton Hill,Entire home/apt,450,2,5,2018.0
Manhattan,East Harlem,Private room,185,2,98,2019.0
Queens,Ditmars Steinway,Private room,39,1,178,2019.0
Queens,Sunnyside,Private room,65,2,72,2019.0
Queens,Fresh Meadows,Private room,60,1,100,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,170,3,62,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,60,5,11,2019.0
Manhattan,East Harlem,Entire home/apt,200,7,3,2017.0
Queens,South Ozone Park,Entire home/apt,50,1,310,2019.0
Queens,Astoria,Private room,50,4,1,2017.0
Manhattan,Murray Hill,Entire home/apt,222,30,1,2018.0
Manhattan,Murray Hill,Entire home/apt,175,30,3,2019.0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,90,1,81,2019.0
Brooklyn,South Slope,Entire home/apt,196,2,93,2019.0
Manhattan,Chelsea,Entire home/apt,170,30,1,2017.0
Queens,Sunnyside,Private room,70,3,91,2019.0
Manhattan,SoHo,Entire home/apt,899,3,5,2019.0
Queens,Sunnyside,Private room,78,1,74,2019.0
Manhattan,Midtown,Entire home/apt,399,3,1,2018.0
Manhattan,Morningside Heights,Entire home/apt,120,6,1,2017.0
Brooklyn,Williamsburg,Private room,55,5,4,2019.0
Brooklyn,Bath Beach,Entire home/apt,95,2,2,2017.0
Queens,Long Island City,Private room,70,2,6,2018.0
Brooklyn,Bedford-Stuyvesant,Private room,60,2,9,2019.0
Brooklyn,Bushwick,Private room,45,2,31,2019.0
Brooklyn,Crown Heights,Entire home/apt,120,2,48,2019.0
Staten Island,West Brighton,Private room,37,2,25,2018.0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,125,4,4,2018.0
Brooklyn,Bushwick,Private room,50,1,61,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,2,1,2017.0
Manhattan,Upper East Side,Entire home/apt,80,30,2,2018.0
Brooklyn,Crown Heights,Private room,60,1,9,2018.0
Manhattan,Washington Heights,Private room,68,3,34,2019.0
Brooklyn,Williamsburg,Entire home/apt,300,5,5,2019.0
Brooklyn,Crown Heights,Private room,75,3,5,2017.0
Queens,Howard Beach,Private room,89,1,5,2019.0
Queens,Ditmars Steinway,Private room,62,2,95,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,3,50,2019.0
Manhattan,West Village,Entire home/apt,300,3,19,2019.0
Brooklyn,Greenpoint,Entire home/apt,83,1,85,2019.0
Brooklyn,Bushwick,Private room,60,1,2,2017.0
Brooklyn,Bushwick,Private room,30,1,4,2017.0
Queens,East Elmhurst,Entire home/apt,118,2,119,2019.0
Brooklyn,Williamsburg,Entire home/apt,150,5,1,2017.0
Brooklyn,Greenpoint,Private room,92,6,48,2019.0
Brooklyn,Greenpoint,Entire home/apt,99,1,114,2019.0
Brooklyn,Prospect Heights,Entire home/apt,124,2,9,2019.0
Queens,Little Neck,Private room,45,1,12,2019.0
Brooklyn,Williamsburg,Entire home/apt,175,4,2,2017.0
Manhattan,Harlem,Entire home/apt,147,2,64,2019.0
Brooklyn,Crown Heights,Entire home/apt,75,2,1,2018.0
Queens,St. Albans,Entire home/apt,99,2,54,2019.0
Queens,Flushing,Entire home/apt,120,1,2,2017.0
Brooklyn,Bedford-Stuyvesant,Private room,47,5,5,2017.0
Brooklyn,Bushwick,Entire home/apt,157,3,70,2019.0
Brooklyn,East Flatbush,Private room,80,7,5,2018.0
Brooklyn,Crown Heights,Private room,69,1,7,2018.0
Brooklyn,Flatbush,Entire home/apt,250,2,58,2019.0
Manhattan,Greenwich Village,Entire home/apt,175,2,25,2019.0
Bronx,Bronxdale,Private room,45,2,21,2019.0
Manhattan,Washington Heights,Entire home/apt,80,2,18,2019.0
Brooklyn,Williamsburg,Entire home/apt,217,3,24,2019.0
Manhattan,Upper East Side,Entire home/apt,129,2,25,2019.0
Manhattan,East Harlem,Entire home/apt,199,1,34,2018.0
Brooklyn,Bushwick,Entire home/apt,195,2,4,2017.0
Manhattan,Upper East Side,Entire home/apt,126,2,45,2019.0
Brooklyn,Brownsville,Private room,59,2,34,2019.0
Manhattan,Upper West Side,Private room,51,7,2,2018.0
Brooklyn,Crown Heights,Private room,150,1,2,2017.0
Brooklyn,Williamsburg,Entire home/apt,800,30,29,2018.0
Manhattan,Upper West Side,Private room,140,1,13,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,95,5,1,2018.0
Manhattan,Flatiron District,Entire home/apt,600,2,41,2019.0
Manhattan,Chelsea,Private room,40,3,23,2018.0
Queens,Sunnyside,Private room,85,1,115,2019.0
Manhattan,Harlem,Entire home/apt,150,3,18,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,60,30,2,2017.0
Brooklyn,Crown Heights,Private room,40,6,4,2018.0
Manhattan,Kips Bay,Private room,69,1,16,2018.0
Brooklyn,Columbia St,Entire home/apt,149,3,2,2019.0
Manhattan,Upper East Side,Private room,120,1,89,2019.0
Brooklyn,Bushwick,Private room,40,9,2,2017.0
Manhattan,Financial District,Entire home/apt,200,3,14,2019.0
Manhattan,Upper West Side,Entire home/apt,120,3,6,2018.0
Brooklyn,Crown Heights,Private room,50,3,28,2019.0
Brooklyn,Bensonhurst,Entire home/apt,100,2,115,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,250,3,1,2019.0
Queens,Sunnyside,Private room,45,3,58,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,85,5,6,2018.0
Manhattan,Hell's Kitchen,Entire home/apt,300,1,139,2019.0
Queens,Ditmars Steinway,Private room,35,1,3,2017.0
Brooklyn,Gowanus,Entire home/apt,225,2,113,2019.0
Brooklyn,Sheepshead Bay,Entire home/apt,78,4,5,2019.0
Brooklyn,Flatlands,Private room,49,2,58,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,130,30,4,2019.0
Brooklyn,Flatbush,Entire home/apt,115,5,4,2019.0
Brooklyn,Clinton Hill,Private room,59,3,2,2018.0
Brooklyn,Bushwick,Private room,32,1,5,2017.0
Brooklyn,Bedford-Stuyvesant,Private room,45,2,10,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,70,2,2,2019.0
Brooklyn,Flatbush,Entire home/apt,99,3,2,2018.0
Queens,Maspeth,Entire home/apt,105,3,71,2019.0
Queens,Ditmars Steinway,Entire home/apt,160,5,2,2018.0
Manhattan,Morningside Heights,Entire home/apt,114,1,1,2017.0
Brooklyn,Bedford-Stuyvesant,Private room,55,3,8,2017.0
Queens,Flushing,Entire home/apt,120,1,104,2019.0
Brooklyn,Williamsburg,Private room,55,7,19,2019.0
Queens,Astoria,Private room,160,2,1,2018.0
Brooklyn,Crown Heights,Entire home/apt,110,2,31,2019.0
Manhattan,Harlem,Private room,60,4,2,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,130,30,4,2019.0
Manhattan,Hell's Kitchen,Shared room,115,1,94,2019.0
Brooklyn,Bushwick,Private room,85,2,5,2018.0
Queens,Elmhurst,Private room,55,1,61,2019.0
Brooklyn,Crown Heights,Private room,55,1,63,2019.0
Manhattan,Financial District,Private room,90,2,3,2018.0
Brooklyn,Bedford-Stuyvesant,Private room,150,2,6,2019.0
Manhattan,Nolita,Entire home/apt,350,5,1,2017.0
Brooklyn,Canarsie,Private room,110,1,1,2018.0
Manhattan,Hell's Kitchen,Entire home/apt,164,2,85,2019.0
Queens,Ridgewood,Private room,42,2,1,2017.0
Manhattan,West Village,Entire home/apt,325,5,47,2019.0
Manhattan,East Village,Entire home/apt,140,3,6,2019.0
Queens,Ridgewood,Entire home/apt,75,10,1,2017.0
Brooklyn,Kensington,Private room,66,2,14,2019.0
Brooklyn,Kensington,Private room,66,2,29,2019.0
Manhattan,East Harlem,Private room,95,1,35,2019.0
Manhattan,Lower East Side,Private room,115,1,179,2019.0
Brooklyn,Park Slope,Entire home/apt,200,3,41,2019.0
Queens,Rosedale,Private room,84,1,89,2019.0
Queens,Rosedale,Private room,62,1,144,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,35,1,5,2017.0
Queens,Rosedale,Private room,62,1,129,2019.0
Queens,Long Island City,Entire home/apt,115,5,1,2017.0
Bronx,Longwood,Entire home/apt,155,3,13,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,165,3,1,2017.0
Brooklyn,Crown Heights,Private room,60,3,6,2018.0
Brooklyn,Park Slope,Entire home/apt,400,2,7,2019.0
Brooklyn,Bay Ridge,Entire home/apt,90,1,92,2019.0
Manhattan,Battery Park City,Private room,90,1,9,2019.0
Brooklyn,Williamsburg,Private room,75,4,6,2019.0
Manhattan,Tribeca,Entire home/apt,1500,3,2,2018.0
Brooklyn,Bedford-Stuyvesant,Private room,55,3,3,2018.0
Brooklyn,Crown Heights,Private room,72,1,92,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,120,30,4,2018.0
Manhattan,Murray Hill,Entire home/apt,200,6,2,2017.0
Brooklyn,Clinton Hill,Entire home/apt,99,3,5,2018.0
Manhattan,Theater District,Entire home/apt,185,3,5,2018.0
Manhattan,Lower East Side,Private room,90,2,14,2019.0
Manhattan,Greenwich Village,Entire home/apt,615,4,42,2019.0
Manhattan,Financial District,Entire home/apt,180,7,3,2019.0
Brooklyn,Bushwick,Private room,75,1,3,2017.0
Queens,St. Albans,Entire home/apt,80,1,100,2019.0
Brooklyn,Greenpoint,Entire home/apt,90,30,4,2019.0
Brooklyn,Williamsburg,Entire home/apt,269,5,1,2017.0
Bronx,Riverdale,Shared room,800,2,1,2017.0
Manhattan,Harlem,Private room,60,1,2,2017.0
Manhattan,Upper West Side,Entire home/apt,219,4,30,2019.0
Manhattan,Harlem,Entire home/apt,150,5,52,2019.0
Manhattan,Upper West Side,Entire home/apt,289,3,3,2017.0
Manhattan,Upper West Side,Private room,55,3,4,2017.0
Manhattan,Kips Bay,Private room,139,2,1,2017.0
Queens,Richmond Hill,Entire home/apt,65,2,95,2019.0
Manhattan,Theater District,Entire home/apt,239,3,104,2019.0
Manhattan,Hell's Kitchen,Private room,110,3,111,2019.0
Manhattan,Upper West Side,Private room,89,10,10,2018.0
Bronx,East Morrisania,Private room,0,2,55,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,2,18,2019.0
Queens,Corona,Shared room,45,1,18,2019.0
Manhattan,Washington Heights,Private room,55,1,22,2019.0
Manhattan,Harlem,Shared room,65,1,1,2018.0
Brooklyn,Columbia St,Private room,63,1,51,2019.0
Manhattan,Harlem,Private room,70,1,9,2017.0
Brooklyn,Greenpoint,Entire home/apt,120,4,19,2019.0
Manhattan,East Harlem,Private room,82,1,163,2019.0
Manhattan,East Village,Private room,56,2,4,2017.0
Brooklyn,Bedford-Stuyvesant,Private room,80,1,4,2018.0
Manhattan,Hell's Kitchen,Entire home/apt,139,2,121,2019.0
Queens,Ozone Park,Entire home/apt,110,2,51,2019.0
Brooklyn,Williamsburg,Private room,60,2,3,2019.0
Manhattan,Harlem,Private room,70,1,68,2019.0
Manhattan,East Harlem,Private room,69,1,58,2019.0
Brooklyn,Bedford-Stuyvesant,Shared room,45,3,7,2018.0
Manhattan,Harlem,Private room,80,1,4,2017.0
Queens,Elmhurst,Private room,51,2,38,2019.0
Brooklyn,Brownsville,Private room,50,4,67,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,273,3,13,2019.0
Manhattan,Midtown,Entire home/apt,212,3,95,2019.0
Brooklyn,Crown Heights,Private room,54,2,47,2019.0
Brooklyn,Carroll Gardens,Entire home/apt,170,1,90,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,50,3,15,2018.0
Brooklyn,Bedford-Stuyvesant,Private room,85,2,11,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,80,1,2,2017.0
Brooklyn,Bushwick,Private room,50,1,3,2018.0
Manhattan,Harlem,Private room,86,1,1,2017.0
Brooklyn,East New York,Shared room,79,1,9,2019.0
Brooklyn,Williamsburg,Entire home/apt,211,1,12,2018.0
Bronx,Westchester Square,Entire home/apt,70,2,67,2019.0
Brooklyn,East New York,Shared room,159,1,7,2018.0
Brooklyn,East New York,Private room,119,1,29,2019.0
Brooklyn,Fort Hamilton,Entire home/apt,120,4,45,2019.0
Manhattan,Harlem,Entire home/apt,71,2,24,2019.0
Manhattan,Gramercy,Entire home/apt,170,3,12,2019.0
Brooklyn,Crown Heights,Entire home/apt,70,30,4,2018.0
Brooklyn,Williamsburg,Private room,80,1,1,2017.0
Manhattan,Harlem,Private room,50,2,86,2019.0
Manhattan,Lower East Side,Private room,80,1,1,2017.0
Manhattan,Kips Bay,Entire home/apt,129,2,75,2019.0
Manhattan,East Harlem,Entire home/apt,99,14,6,2019.0
Manhattan,Harlem,Private room,49,16,1,2017.0
Brooklyn,Prospect Heights,Entire home/apt,125,1,2,2017.0
Manhattan,Upper East Side,Entire home/apt,150,7,1,2017.0
Queens,Long Island City,Private room,30,4,4,2018.0
Brooklyn,Williamsburg,Entire home/apt,144,4,10,2019.0
Bronx,East Morrisania,Private room,55,2,60,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,170,5,53,2019.0
Manhattan,Harlem,Entire home/apt,185,1,6,2017.0
Queens,Elmhurst,Entire home/apt,120,6,8,2018.0
Manhattan,East Village,Entire home/apt,174,2,22,2018.0
Brooklyn,Greenpoint,Entire home/apt,125,3,50,2019.0
Manhattan,Washington Heights,Private room,60,1,1,2017.0
Manhattan,Midtown,Private room,105,1,142,2019.0
Brooklyn,Fort Hamilton,Entire home/apt,85,1,3,2019.0
Manhattan,Upper West Side,Entire home/apt,300,30,7,2019.0
Manhattan,Gramercy,Private room,150,2,57,2019.0
Queens,Jackson Heights,Private room,80,2,9,2019.0
Brooklyn,Boerum Hill,Entire home/apt,140,7,31,2018.0
Brooklyn,Borough Park,Private room,75,2,25,2019.0
Brooklyn,Williamsburg,Entire home/apt,300,2,34,2019.0
Manhattan,East Village,Shared room,69,6,31,2019.0
Queens,College Point,Private room,53,7,2,2018.0
Manhattan,Kips Bay,Private room,79,1,26,2018.0
Manhattan,Midtown,Entire home/apt,409,1,87,2019.0
Queens,Astoria,Entire home/apt,600,30,1,2017.0
Brooklyn,Crown Heights,Private room,38,2,112,2019.0
Manhattan,East Village,Entire home/apt,185,1,17,2019.0
Brooklyn,Greenpoint,Entire home/apt,175,2,3,2017.0
Manhattan,Upper East Side,Entire home/apt,115,2,6,2018.0
Brooklyn,Bushwick,Private room,50,2,38,2019.0
Brooklyn,Fort Greene,Private room,75,1,152,2019.0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,70,3,13,2018.0
Brooklyn,Bedford-Stuyvesant,Private room,85,4,2,2017.0
Manhattan,SoHo,Entire home/apt,250,90,1,2019.0
Brooklyn,Bushwick,Private room,40,2,4,2018.0
Brooklyn,Bedford-Stuyvesant,Private room,50,5,22,2019.0
Manhattan,Chelsea,Entire home/apt,162,3,4,2017.0
Manhattan,Hell's Kitchen,Entire home/apt,250,2,97,2019.0
Queens,Woodside,Private room,35,7,2,2017.0
Queens,Long Island City,Entire home/apt,295,2,106,2019.0
Brooklyn,Canarsie,Private room,75,2,45,2019.0
Queens,Corona,Shared room,45,1,16,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,38,1,1,2017.0
Manhattan,Upper West Side,Private room,61,1,1,2017.0
Manhattan,Midtown,Entire home/apt,170,2,102,2019.0
Manhattan,SoHo,Private room,80,5,32,2019.0
Brooklyn,Bushwick,Private room,54,2,10,2018.0
Brooklyn,Greenpoint,Private room,80,5,19,2019.0
Bronx,Norwood,Entire home/apt,58,5,1,2017.0
Manhattan,East Village,Entire home/apt,120,8,6,2018.0
Queens,Douglaston,Private room,45,1,12,2019.0
Brooklyn,Williamsburg,Entire home/apt,120,1,122,2019.0
Bronx,Claremont Village,Private room,70,4,42,2019.0
Brooklyn,Williamsburg,Entire home/apt,215,3,3,2018.0
Manhattan,Upper West Side,Entire home/apt,250,2,2,2017.0
Brooklyn,Sunset Park,Entire home/apt,72,3,1,2017.0
Manhattan,Harlem,Private room,85,2,26,2019.0
Brooklyn,East Flatbush,Private room,80,3,10,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,50,14,1,2018.0
Brooklyn,Williamsburg,Entire home/apt,255,14,9,2019.0
Brooklyn,Bay Ridge,Entire home/apt,120,2,7,2017.0
Brooklyn,Greenpoint,Private room,61,10,2,2018.0
Manhattan,Harlem,Private room,65,1,3,2019.0
Brooklyn,Greenpoint,Private room,55,2,4,2017.0
Manhattan,Midtown,Entire home/apt,672,2,3,2018.0
Bronx,Kingsbridge,Entire home/apt,100,2,46,2019.0
Queens,Astoria,Private room,60,2,4,2019.0
Manhattan,Greenwich Village,Entire home/apt,200,2,3,2018.0
Brooklyn,East Flatbush,Private room,66,2,6,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,165,3,72,2019.0
Brooklyn,Boerum Hill,Entire home/apt,150,7,2,2018.0
Queens,Flushing,Entire home/apt,100,30,7,2019.0
Manhattan,Harlem,Private room,90,2,67,2019.0
Manhattan,East Village,Private room,144,4,20,2019.0
Brooklyn,Greenpoint,Entire home/apt,210,2,31,2019.0
Manhattan,Greenwich Village,Entire home/apt,350,2,34,2019.0
Staten Island,St. George,Private room,68,2,29,2019.0
Queens,Astoria,Private room,60,3,7,2018.0
Queens,Astoria,Private room,60,1,19,2019.0
Queens,Forest Hills,Entire home/apt,60,4,97,2019.0
Manhattan,Upper West Side,Private room,60,4,4,2018.0
Brooklyn,East Flatbush,Entire home/apt,110,1,80,2019.0
Bronx,Concourse,Entire home/apt,69,2,98,2019.0
Manhattan,Harlem,Entire home/apt,125,2,1,2017.0
Brooklyn,Clinton Hill,Private room,59,3,2,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,200,3,97,2019.0
Brooklyn,Park Slope,Private room,70,1,11,2017.0
Brooklyn,Bedford-Stuyvesant,Private room,50,4,1,2018.0
Queens,Forest Hills,Private room,65,1,17,2018.0
Manhattan,Hell's Kitchen,Private room,120,1,112,2019.0
Manhattan,Financial District,Private room,95,1,20,2019.0
Manhattan,Harlem,Private room,70,4,3,2017.0
Brooklyn,Gowanus,Entire home/apt,192,2,1,2017.0
Brooklyn,East New York,Private room,60,7,22,2019.0
Brooklyn,Bushwick,Entire home/apt,175,4,1,2017.0
Brooklyn,Park Slope,Entire home/apt,295,30,50,2019.0
Manhattan,Harlem,Private room,50,3,2,2017.0
Brooklyn,Williamsburg,Private room,66,3,4,2018.0
Manhattan,Hell's Kitchen,Entire home/apt,226,2,73,2019.0
Manhattan,East Village,Private room,530,4,7,2018.0
Queens,Astoria,Entire home/apt,106,4,1,2017.0
Brooklyn,Bushwick,Private room,40,5,48,2019.0
Brooklyn,Bushwick,Shared room,34,30,2,2018.0
Manhattan,Harlem,Private room,125,3,34,2019.0
Manhattan,Chelsea,Entire home/apt,245,5,48,2019.0
Brooklyn,East New York,Entire home/apt,65,2,53,2019.0
Manhattan,Harlem,Private room,65,2,24,2018.0
Queens,Ridgewood,Private room,50,1,2,2017.0
Manhattan,Upper West Side,Private room,77,1,52,2019.0
Manhattan,Hell's Kitchen,Private room,99,4,6,2018.0
Queens,Jamaica,Private room,39,1,15,2018.0
Manhattan,Chelsea,Entire home/apt,195,1,71,2019.0
Manhattan,Washington Heights,Private room,50,2,1,2017.0
Queens,Queens Village,Entire home/apt,99,2,15,2019.0
Manhattan,Harlem,Private room,75,4,10,2019.0
Brooklyn,Williamsburg,Private room,89,2,50,2019.0
Manhattan,Nolita,Entire home/apt,265,5,87,2019.0
Brooklyn,Crown Heights,Entire home/apt,400,3,19,2019.0
Manhattan,Financial District,Entire home/apt,160,4,32,2019.0
Manhattan,East Harlem,Shared room,75,7,1,2017.0
Brooklyn,Williamsburg,Entire home/apt,175,2,3,2018.0
Brooklyn,Bushwick,Private room,55,1,9,2017.0
Brooklyn,Crown Heights,Entire home/apt,105,2,55,2019.0
Manhattan,Flatiron District,Entire home/apt,495,1,43,2019.0
Brooklyn,Cypress Hills,Entire home/apt,34,2,93,2019.0
Brooklyn,Bushwick,Private room,0,2,16,2019.0
Manhattan,Upper East Side,Private room,85,30,11,2019.0
Manhattan,Lower East Side,Private room,133,2,1,2017.0
Brooklyn,Bedford-Stuyvesant,Private room,70,2,57,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,70,2,45,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,60,2,60,2019.0
Brooklyn,Brownsville,Entire home/apt,300,2,11,2019.0
Brooklyn,Williamsburg,Entire home/apt,150,2,8,2018.0
Brooklyn,Bedford-Stuyvesant,Private room,72,1,1,2017.0
Manhattan,Upper East Side,Entire home/apt,200,5,4,2018.0
Brooklyn,Flatbush,Entire home/apt,80,1,2,2017.0
